Name,Matches,Inngs,AvgRns,SR,Hunds,Fifties,TotRuns,MaxRun1Inng
SA Abbott,14,5,7,95.45,0,0,21,12
AC Agar,47,28,12.04,101.46,0,0,277,29
GJ Bailey,29,25,26.11,140.71,0,2,470,63
CT Bancroft,1,1,0,0,0,0,0,0
JP Behrendorff,14,2,7,77.77,0,0,7,5
TR Birt,4,3,10.33,93.93,0,0,31,17
SM Boland,3,0,0,0,0,0,0,0
DE Bollinger,9,2,0,100,0,0,1,1
CJ Boyce,7,2,4,57.14,0,0,4,3
NW Bracken,19,6,5,68.18,0,0,15,4
AT Carey,38,26,11.09,108.37,0,0,233,37
DT Christian,23,14,14.75,126.88,0,0,118,39
SR Clark,9,0,0,0,0,0,0,0
MJ Clarke,34,28,21.21,103.17,0,1,488,67
NM Coulter0Nile,28,15,13.63,125,0,0,150,34
PJ Cummins,50,23,9.66,123.4,0,0,116,21
BCJ Cutting,4,3,11.66,152.17,0,0,35,29
TH David,19,16,24.21,157.67,0,2,339,64
XJ Doherty,11,4,18,105.88,0,0,18,9
BR Dunk,5,5,19.8,143.47,0,0,99,32
BJ Dwarshuis,3,3,0.5,20,0,0,1,1
NT Ellis,12,4,2,31.57,0,0,6,4
JP Faulkner,24,18,14.45,115.21,0,0,159,41
Fawad Ahmed,2,1,0,60,0,0,3,3
CJ Ferguson,3,3,5.33,84.21,0,0,16,8
AJ Finch,103,103,34.28,142.53,2,19,3120,172
B Geeves,1,0,0,0,0,0,0,0
AC Gilchrist,13,13,22.66,141.66,0,0,272,48
JN Gillespie,1,1,24,133.33,0,0,24,24
C Green,8,8,17.37,173.75,0,2,139,61
CJ Green,1,1,0,66.66,0,0,2,2
BJ Haddin,34,29,17.47,114.52,0,0,402,47
PSP Handscomb,2,2,33,100,0,0,33,20
AM Hardie,6,4,13.25,117.77,0,0,53,23
RJ Harris,3,1,0,200,0,0,2,2
SM Harwood,3,1,0,0,0,0,0,0
JW Hastings,9,6,11.5,124.32,0,0,46,15
NM Hauritz,3,2,3,60,0,0,6,4
ML Hayden,9,9,51.33,143.92,0,4,308,73
JR Hazlewood,41,7,11,157.14,0,0,22,13
TM Head,23,22,29.15,146.17,0,1,554,91
MC Henriques,24,21,20.88,124.56,0,2,355,62
BW Hilfenhaus,7,3,1,20,0,0,2,2
BJ Hodge,15,11,26.14,127.08,0,0,183,36
GB Hogg,15,4,13.75,141.02,0,0,55,41
JR Hopes,12,7,21,107.14,0,0,105,30
PJ Hughes,1,1,6,75,0,0,6,6
DJ Hussey,39,36,22.9,121.34,0,3,756,88
MEK Hussey,38,30,37.94,136.29,0,4,721,60
JP Inglis,15,15,29.76,158.6,1,0,387,110
MG Johnson,30,17,10.9,114.73,0,0,109,28
SH Johnson,2,0,0,0,0,0,0,0
MS Kasprowicz,2,1,0,60,0,0,3,3
SM Katich,3,2,34.5,146.8,0,0,69,39
UT Khawaja,9,9,26.77,132.41,0,1,241,58
M Klinger,3,3,47.66,127.67,0,1,143,62
M Labuschagne,1,1,2,50,0,0,2,2
B Laughlin,3,0,0,0,0,0,0,0
B Lee,25,12,16.83,142.25,0,0,101,43
ML Lewis,2,0,0,0,0,0,0,0
CA Lynn,18,16,19.4,131.67,0,0,291,44
NM Lyon,2,1,0,100,0,0,4,4
BR McDermott,25,23,18,99.7,0,2,342,54
GD McGrath,2,1,5,41.66,0,0,5,5
CJ McKay,6,4,9.5,86.36,0,0,19,7
NJ Maddinson,6,4,11.25,128.57,0,0,45,34
MR Marsh,49,47,33.47,133.19,0,8,1272,92
SE Marsh,15,15,18.21,102.82,0,0,255,47
DR Martyn,4,4,30,162.16,0,1,120,96
GJ Maxwell,100,92,29.54,153.09,4,10,2275,145
RP Meredith,5,0,0,0,0,0,0,0
JM Muirhead,5,2,4,50,0,0,4,3
DP Nannes,15,4,16,145.45,0,0,16,12
PM Nevill,9,5,25,227.27,0,0,25,10
AA Noffke,2,1,0,0,0,0,0,0
MJ North,1,1,20,95.23,0,0,20,20
SNJ O'Keefe,7,5,6.4,123.07,0,0,32,22
TD Paine,10,7,7.83,117.5,0,0,47,21
JL Pattinson,4,2,0,166.66,0,0,5,5
JR Philippe,12,12,12.5,109.48,0,0,150,45
LA Pomersbach,1,1,15,214.28,0,0,15,15
RT Ponting,17,16,28.64,132.78,0,2,401,98
NJ Reardon,2,1,4,50,0,0,4,4
JA Richardson,18,8,15,88.23,0,0,45,11
KW Richardson,36,7,4.25,100,0,0,17,9
BJ Rohrer,1,1,16,114.28,0,0,16,16
L Ronchi,3,2,23.5,174.07,0,0,47,36
DR Sams,10,7,26.5,170.96,0,0,106,41
T Sangha,7,1,0,50,0,0,2,2
DJM Short,23,23,30.57,118.88,0,4,642,76
MW Short,7,7,22.28,167.74,0,1,156,66
PM Siddle,2,1,0,100,0,0,1,1
SPD Smith,65,53,25.69,125.17,0,5,1079,90
B Stanlake,19,2,9,75,0,0,9,7
MA Starc,58,19,9.4,101.07,0,0,94,14
MP Stoinis,57,47,30.5,145.93,0,2,915,78
MJ Swepson,8,5,0,139.13,0,0,32,14
A Symonds,14,11,48.14,169.34,0,2,337,85
SW Tait,21,6,2.75,73.33,0,0,11,6
AJ Turner,19,14,12.22,83.96,0,0,110,24
AJ Tye,32,15,10.37,109.21,0,0,83,20
AC Voges,7,5,46.33,121.92,0,1,139,51
MS Wade,80,61,27.28,135.14,0,3,1146,80
DA Warner,99,99,32.88,141.3,1,24,2894,100
SR Watson,58,56,29.24,145.32,1,10,1462,124
CL White,47,44,32.8,132.97,0,5,984,85
JD Wildermuth,2,1,0,100,0,0,1,1
A Zampa,74,17,5.44,80.32,0,0,49,13
